task1, task2, shortMax, shortMean, shortSD, longMax, longMean, longSD, qComputed, infFactor, inflatedQ, medMax, medMean, medSD, costRatio, score
ammunition,susan,53364837,53292613.593,24167.276618156407,69280093,53292655.51150489,56250.0026766082,0.9989326464044882,1,0.9989326464044882,53486147,53294051.9532,24203.06029545181,4.283339410544989,0.5753546993197338,
cjpeg_transupp,cjpeg_transupp,1372126,1346200.808,7240.51791329797,1375482,1346014.7759722404,6889.765658929269,0.9983091312610677,1,0.9983091312610677,1372126,1346007.134,6944.272369913425,1.0,0.5472569157837287,
cjpeg_transupp,cjpeg_wrbmp,1040192,1021074.64,7013.125311944814,1136008,1020553.0950090499,6716.328730588102,0.9990371647075945,1,0.9990371647075945,1044334,1020679.7808,6837.839014960002,16.368186935897672,2.907436460621274,
cjpeg_transupp,dijkstra,17203162,17176591.483,6696.0301740511,23552128,17175946.926380735,21606.121512305723,0.9989775943898727,1,0.9989775943898727,17203162,17176136.0724,6555.953948284495,18.865223970807794,0.5336587687130981,
cjpeg_transupp,epic,1237733,1205023.172,7080.58315283425,1252899,1204914.3299867,7212.567668239771,0.9989204808914527,1,0.9989204808914527,1239134,1204940.4852,7112.590852821271,1.2302872989954454,0.4887814799040533,
cjpeg_transupp,fmref,1051643,1033337.278,5081.018889521241,1140226,1032993.7251627484,5739.4824342917655,0.9989045308080268,1,0.9989045308080268,1053014,1033173.3052,5440.700401271469,4.744974450894888,0.8892800770486102,
cjpeg_transupp,gsm_dec,1243324,1215585.068,5803.4991656708235,1247535,1215672.398406016,5942.408096336119,0.9989546486894906,1,0.9989546486894906,1243324,1215632.9424,5857.643193554507,1.7735885282294355,0.7130097398052039,
cjpeg_transupp,gsm_enc,1897434,1878670.175,8449.467821397975,2183147,1878683.5666743333,8577.38336579035,0.9989473381293702,1,0.9989473381293702,1897434,1878619.524,8494.854037891058,1.5543373341813147,0.5852751203186245,
cjpeg_transupp,huff_enc,1109240,1095152.874,1214.0412341606204,1169657,1095066.67199328,701.5657174638138,0.9988617304562402,1,0.9988617304562402,1109240,1095081.5752,923.0972337441698,3.2344271443108332,0.811251044025983,
cjpeg_transupp,mpeg2,137247295,137110262.278,41755.34951277081,180440269,137112483.17464826,155125.12790484942,0.9988931490166114,1,0.9988931490166114,137265244,137109900.8532,42490.018236225034,154.42242662480888,0.3626281556857598,
cjpeg_transupp,ndes,1032302,1013576.304,5336.982786073311,1112025,1013729.4160758392,5335.016284361198,0.998986130480914,1,0.998986130480914,1033653,1013665.184,5340.223134082762,21.593221164381895,3.575470549562931,
cjpeg_transupp,petrinet,1030536,1010010.917,5524.966429414495,1115277,1010026.8727712723,5612.393052611576,0.999015192219973,1,0.999015192219973,1030536,1010014.1312,5557.8485581225195,692.2810304449649,112.19672131147541,
cjpeg_transupp,rijndael_dec,1438218,1404538.516,9545.725682972383,1470121,1403911.769902301,9052.632138763538,0.9988906733088001,1,0.9988906733088001,1438218,1403820.4084,9197.834576962749,1.0546474337289076,0.5671371158712332,
cjpeg_transupp,rijndael_enc,1373756,1358034.432,6601.979440888461,1419256,1357969.6180638194,6596.269361439335,0.9989492646563014,1,0.9989492646563014,1375300,1358005.3836,6634.057369251675,1.011401514638954,0.5394345137413566,
cjpeg_transupp,statemate,1028291,1010875.403,5438.175579017215,1111327,1011099.9075609244,5567.354734853432,0.9989364846101643,1,0.9989364846101643,1031847,1011066.4444,5490.969404404716,27.593876407990543,4.5128819466052645,
cjpeg_transupp,susan,11696812,11621225.603,22700.504351119296,16697235,11618466.253707463,26304.602754430674,0.996070661307306,1,0.996070661307306,11697565,11621403.9952,23133.771026149912,12.413384122001055,0.777196294141261,
cjpeg_wrbmp,cjpeg_wrbmp,72564,51818.081,2839.18080158046,81938,51760.31707682923,2696.9829952858954,0.9989644467753664,1,0.9989644467753664,72564,51759.596,2706.3641601918666,1.0,0.33933811993576846,
cjpeg_wrbmp,dijkstra,16729074,16701337.137,6699.8738461097,23440173,16702011.325556744,24411.483467849957,0.9989745341483566,1,0.9989745341483566,16747184,16701310.3792,6844.594000568653,308.78951254175973,0.3188873917938685,
cjpeg_wrbmp,epic,714622,680326.677,7746.257043298515,1074698,679973.633593664,7605.374848760254,0.9989742409219275,1,0.9989742409219275,718945,680113.1872,7568.445235678881,13.304361468465641,-0.034552132745159565,
cjpeg_wrbmp,fmref,190520,129816.96,19782.374723224966,190520,119923.30747692523,4347.351353773582,0.9969895904115675,1,0.9969895904115675,190520,123814.7744,13770.675182426481,3.4495837870761736,0.06690784252201037,
cjpeg_wrbmp,gsm_dec,520495,490328.954,5749.655791750286,682019,490256.89650103496,6129.654382582093,0.9987869896353814,1,0.9987869896353814,521969,490288.2916,6051.30150914258,9.228852507429078,0.40530463832850366,
cjpeg_wrbmp,gsm_enc,1399134,1364170.868,9152.42855776985,2058790,1363946.4464555355,9428.610215241451,0.9989637028509262,1,0.9989637028509262,1399134,1363782.308,9144.637423199276,25.44168404732461,0.3826021152106905,
cjpeg_wrbmp,huff_enc,293366,265288.784,4598.930766987425,309128,265426.4384256157,4854.337004212939,0.9987432459692231,1,0.9987432459692231,294681,265089.1244,4160.185046458024,5.060613890990974,0.3784122999686225,
cjpeg_wrbmp,mpeg2,136934407,136785122.091,42532.70052951085,179671205,136784194.9692303,142277.60125600325,0.9988148399846494,1,0.9988148399846494,136934407,136782827.4316,43036.080763214304,2527.6151460898136,-0.1708041861237749,
